genesis 7:14	hemah vekhal hakhayah leminah vekhal habeheimah leminah vekhal haremes haromes ‘al ha’arets lemineihu vekhal ha‘of lemineihu kol tsipor kal kanaf. 
genesis 7:15	vayawo’u ’el noakh ’el hateiwah shenayim shenayim mikal habasar ’asher bo ruakh khayim. 
genesis 7:16	vehaba’im zakhar uneqeiwah mikal basar ba’u ka’asher tsivah ’oto ’elohim vayisgor yhoh ba‘ado. 
genesis 7:17	vayhi hamabul ’arba‘im yom ‘al ha’arets vayirbu hamayim vayis’u ’et hateiwah vataram mei‘al ha’arets. 
genesis 7:18	vayigberu hamayim vayirbu me’od ‘al ha’arets vateilekh hateiwah ‘al penei hamayim. 
genesis 7:19	vehamayim gaweru me’od me’od ‘al ha’arets vaykhusu kal heharim hagewohim ’asher takhat kal hashamayim. 
genesis 7:20	khamesh ‘esreh ’amah milma‘lah gaweru hamayim vaykhusu heharim. 
genesis 7:21	vayigva‘ kal basar haromes ‘al ha’arets ba‘of uwabeheimah uwakhayah uwekhal hasherets hashorets ‘al ha’arets vekhol ha’adam. 
genesis 7:22	kol ’asher nishmat ruakh khayim be’apav mikol ’asher bekharawah meitu. 
genesis 7:23	vayimakh ’et kal hayqum ’asher ‘al penei ha’adamah mei’adam ‘ad beheimah ‘ad remes ve‘ad ‘of hashamayim vayimakhu min ha’arets vayisha’er ’akh noakh va’asher ’ito bateiwah. 
genesis 7:24	vayigberu hamayim ‘al ha’arets khamishim ume’at yom. 
genesis 8:1	vayizkor ’elohim ’et noakh ve’et kal hakhayah ve’et kal habeheimah ’asher ’ito bateiwah vaya‘awer ’elohim ruakh ‘al ha’arets vayashoku hamayim. 
genesis 8:2	vayisakheru ma‘yenot tehom va’arubot hashamayim vayikalei hageshem min hashamayim. 
genesis 8:3	vayashuwu hamayim mei‘al ha’arets halokh vashow vayakhseru hamayim miqtseh khamishim ume’at yom. 
genesis 8:4	vatanakh hateiwah bakhodesh hashewi‘i beshiw‘ah ‘asar yom lakhodesh ‘al harei ’ararat. 
genesis 8:5	vehamayim hayu halokh vekhasor ‘ad hakhodesh ha‘asiri ba‘asiri be’ekhad lakhodesh nir’u rashei heharim. 
genesis 8:6	vayhi miqets ’arba‘im yom vayiftakh noakh ’et khalon hateiwah ’asher ‘asah. 
genesis 8:7	vayshalakh ’et ha‘orew vayeitsei yatso vashow ‘ad yewoshet hamayim mei‘al ha’arets. 
genesis 8:8	vayshalakh ’et hayonah mei’ito lir’ot haqalu hamayim mei‘al penei ha’adamah. 
genesis 8:9	velo matse’ah hayonah manoakh lekhaf raglah vatashaw ’eilav ’el hateiwah ki mayim ‘al penei khal ha’arets vayishlakh yado vayiqakheha vayawei ’otah ’eilav ’el hateiwah. 
genesis 8:10	vayakhel ‘od shiw‘at yamim ’akheirim vayosef shalakh ’et hayonah min hateiwah. 
genesis 8:11	vatawo ’eilav hayonah le‘et ‘erew vehineh ‘aleh zayit taraf befiha vayeida‘ noakh ki qalu hamayim mei‘al ha’arets. 
genesis 8:12	vayiyakhel ‘od shiw‘at yamim ’akheirim vayshalakh ’et hayonah velo yasefah shuw ’eilav ‘od. 
genesis 8:13	vayhi be’akhat veshesh mei’ot shanah barishon be’ekhad lakhodesh kharewu hamayim mei‘al ha’arets vayasar noakh ’et mikhseh hateiwah vayar vehineh kharewu penei ha’adamah. 
genesis 8:14	uwakhodesh hasheini beshiw‘ah ve‘esrim yom lakhodesh yaweshah ha’arets. 
genesis 8:15	vaydaber ’elohim ’el noakh leimor. 
genesis 8:16	tsei min hateiwah ’atah ve’ishtekha uwanekha uneshei wanekha ’itakh. 
genesis 8:17	kal hakhayah ’asher ’itekha mikal basar ba‘of uwabeheimah uwekhal haremes haromes ‘al ha’arets hotsei haytsei ’itakh vesharetsu wa’arets ufaru verawu ‘al ha’arets. 
genesis 8:18	vayeitsei noakh uwanav ve’ishto uneshei wanav ’ito. 
genesis 8:19	kal hakhayah kal haremes vekhal ha‘of kol romes ‘al ha’arets lemishpekhoteihem yatse’u min hateiwah. 
genesis 8:20	vayiwen noakh mizbeiakh yhoh vayiqakh mikol habeheimah hatehorah umikol ha‘of hatahor vaya‘al ‘olot bamizbeiakh. 
