genesis 6:17	wa’ani, hini meiwi ’et hamabul mayim ‘al ha’arez, leshaHeit kal basar, ’asher bo ruaH Hayim, mitaHat hashamayim; kol ’asher ba’arez yigwa‘. 
genesis 6:18	wahaqimoti ’et beriti ’itakh; uwata ’el hateiwah, ’atah uwanekha we’ishtekha uneshei wanekha ’itakh. 
genesis 6:19	umikal haHay mikal basar shenayim mikol tawi ’el hateiwah lehaHayot ’itakh; cakhar uneqeiwah yihyu. 
genesis 6:20	meiha‘of lemineihu, umin habeheimah leminah, mikol remes ha’adamah lemineihu; shenayim mikol yawo’u ’eilekha lehaHayot. 
genesis 6:21	we’atah qaH lekha, mikal ma’akhal ’asher yei’akheil, we’asafta ’eilekha; wehayah lekha welahem le’akhlah 
genesis 6:22	waya‘as noaH; kekhol ’asher ziwwah ’oto ’elohim kein ‘asah.
genesis 7:1	wayomer yhoh lenoaH, bo ’atah wekhal beitekha ’el hateiwah; ki ’otekha ra’iti zadiq lefanay bador hacceh. 
genesis 7:2	mikol habeheimah haTehorah, tiqaH lekha shiw‘ah shiw‘ah ’ish we’ishto; umin habeheimah ’asher lo Tehorah hi shenayim ’ish we’ishto. 
genesis 7:3	gam mei‘of hashamayim shiw‘ah shiw‘ah cakhar uneqeiwah; leHayot cera‘ ‘al penei khal ha’arez. 
genesis 7:4	ki leyamim ‘od shiw‘ah, ’anokhi mamTir ‘al ha’arez, ’arba‘im yom, we’arba‘im layelah; umaHiti, ’et kal hayqum ’asher ‘asiti, mei‘al penei ha’adamah. 
genesis 7:5	waya‘as noaH; kekhol ’asher ziwwahu yhoh. 
genesis 7:6	wenoaH ben sheish mei’ot shanah; wehamabul hayah, mayim ‘al ha’arez. 
genesis 7:7	wayawo noaH, uwanaw we’ishto uneshei wanaw ’ito ’el hateiwah; mipenei mei hamabul. 
genesis 7:8	min habeheimah haTehorah, umin habeheimah, ’asher ’einenah Tehorah; umin ha‘of, wekhol ’asher romeis ‘al ha’adamah. 
genesis 7:9	shenayim shenayim ba’u ’el noaH ’el hateiwah cakhar uneqeiwah; ka’asher ziwwah ’elohim ’et noaH. 
genesis 7:10	wayhi leshiw‘at hayamim; umei hamabul, hayu ‘al ha’arez. 
genesis 7:11	bishnat sheish mei’ot shanah leHayei noaH, baHodesh hasheini, beshiw‘ah ‘asar yom laHodesh; bayom hacceh, niwqe‘u kal ma‘yenot tehom rabah, wa’arubot hashamayim niftaHu. 
genesis 7:12	wayhi hageshem ‘al ha’arez; ’arba‘im yom, we’arba‘im layelah. 
genesis 7:13	be‘ezem hayom hacceh ba noaH, wesheim weHam wayefet benei noaH; we’eishet noaH, usheloshet neshei wanaw ’itam ’el hateiwah. 
genesis 7:14	heimah wekhal haHayah leminah, wekhal habeheimah leminah, wekhal haremes haromeis ‘al ha’arez lemineihu; wekhal ha‘of lemineihu, kol zipor kal kanaf. 
genesis 7:15	wayawo’u ’el noaH ’el hateiwah; shenayim shenayim mikal habasar, ’asher bo ruaH Hayim. 
genesis 7:16	wehaba’im, cakhar uneqeiwah mikal basar ba’u, ka’asher ziwwah ’oto ’elohim; wayisgor yhoh ba‘ado. 
genesis 7:17	wayhi hamabul ’arba‘im yom ‘al ha’arez; wayirbu hamayim, wayis’u ’et hateiwah, wataram mei‘al ha’arez. 
genesis 7:18	wayigberu hamayim wayirbu me’od ‘al ha’arez; wateilekh hateiwah ‘al penei hamayim. 
genesis 7:19	wehamayim, gaweru me’od me’od ‘al ha’arez; waykhussu, kal heharim hagewohim, ’asher taHat kal hashamayim. 
genesis 7:20	Hameish ‘esreih ’amah milma‘lah, gaweru hamayim; waykhussu heharim. 
genesis 7:21	wayigwa‘ kal basar haromeis ‘al ha’arez, ba‘of uwabeheimah uwaHayah, uwekhal hasherez hashoreiz ‘al ha’arez; wekhol ha’adam. 
genesis 7:22	kol ’asher nishmat ruaH Hayim be’apaw, mikol ’asher beHarawah meitu. 
genesis 7:23	wayimaH ’et kal hayqum ’asher ‘al penei ha’adamah, mei’adam ‘ad beheimah ‘ad remes we‘ad ‘of hashamayim, wayimaHu min ha’arez; wayisha’er ’akh noaH wa’asher ’ito bateiwah. 
genesis 7:24	wayigberu hamayim ‘al ha’arez; Hamishim ume’at yom. 
genesis 8:1	wayickor ’elohim ’et noaH, we’eit kal haHayah we’et kal habeheimah, ’asher ’ito bateiwah; waya‘aweir ’elohim ruaH ‘al ha’arez, wayashoku hamayim. 
genesis 8:2	wayissakheru ma‘yenot tehom, wa’arubot hashamayim; wayikalei hageshem min hashamayim. 
genesis 8:3	wayashuwu hamayim mei‘al ha’arez halokh washow; wayaHseru hamayim, miqzeih Hamishim ume’at yom. 
genesis 8:4	watanaH hateiwah baHodesh hashewi‘i, beshiw‘ah ‘asar yom laHodesh; ‘al harei ’araraT. 
genesis 8:5	wehamayim, hayu halokh weHasor, ‘ad haHodesh ha‘asiri; ba‘asiri be’eHad laHodesh, nir’u rashei heharim. 
genesis 8:6	wayhi miqeiz ’arba‘im yom; wayiftaH noaH, ’et Halon hateiwah ’asher ‘asah. 
genesis 8:7	wayshalaH ’et ha‘oreiw; wayeizei yazo washow, ‘ad yewoshet hamayim mei‘al ha’arez. 
genesis 8:8	wayshalaH ’et hayonah mei’ito; lir’ot haqalu hamayim, mei‘al penei ha’adamah. 
genesis 8:9	welo maze’ah hayonah manoaH lekhaf raglah, watashaw ’eilaw ’el hateiwah, ki mayim ‘al penei khal ha’arez; wayishlaH yado wayiqaHeha, wayawei ’otah ’eilaw ’el hateiwah. 
genesis 8:10	wayaHel ‘od, shiw‘at yamim ’aHeirim; wayosef shalaH ’et hayonah min hateiwah. 
genesis 8:11	watawo ’eilaw hayonah le‘eit ‘erew, wehineih ‘aleih cayit Taraf befiha; wayeida‘ noaH, ki qalu hamayim mei‘al ha’arez. 
genesis 8:12	wayiyaHel ‘od, shiw‘at yamim ’aHeirim; wayshalaH ’et hayonah, welo yasefah shuw ’eilaw ‘od. 
genesis 8:13	wayhi be’aHat wesheish mei’ot shanah, barishon be’eHad laHodesh, Harewu hamayim mei‘al ha’arez; wayasar noaH ’et mikhseih hateiwah, wayar wehineih Harewu penei ha’adamah. 
genesis 8:14	uwaHodesh hasheini, beshiw‘ah we‘esrim yom laHodesh; yaweshah ha’arez.
genesis 8:15	waydabeir ’elohim ’el noaH leimor. 
genesis 8:16	zei min hateiwah; ’atah we’ishtekha uwanekha uneshei wanekha ’itakh. 
genesis 8:17	kal haHayah ’asher ’itekha mikal basar, ba‘of uwabeheimah uwekhal haremes haromeis ‘al ha’arez hozei hayzei ’itakh; wesharezu wa’arez, ufaru werawu ‘al ha’arez. 
genesis 8:18	wayeizei noaH; uwanaw we’ishto uneshei wanaw ’ito. 
genesis 8:19	kal haHayah, kal haremes wekhal ha‘of, kol romeis ‘al ha’arez; lemishpeHoteihem, yaze’u min hateiwah. 
genesis 8:20	wayiwen noaH micbeiaH yhoh; wayiqaH mikol habeheimah haTehorah, umikol ha‘of haTahor, waya‘al ‘olot bamicbeiaH. 
